participant,lexicality,spelling,button,response,accuracy,previous_accuracy,rt,nletters,CELEX_frequency
1,W,felt,1,W,1,1,536,4,7245
1,N,fench,2,N,1,1,585,5,0
1,N,fesons,2,N,1,1,511,6,0
1,N,fessiers,2,N,1,1,523,8,0
1,N,figing,2,N,1,1,549,6,0
1,W,fish,1,W,1,1,504,4,3064
1,W,five,1,W,1,1,486,4,5226
1,N,flawer,2,N,1,1,905,6,0
1,N,flold,2,N,1,1,522,5,0
1,N,floot,2,N,1,1,550,5,0
1,N,foke,2,N,1,1,473,4,0
1,W,followed,1,W,1,1,623,8,2345
1,N,folt,2,N,1,1,558,4,0
1,N,fongues,2,N,1,1,554,7,0
1,W,food,1,W,1,1,509,4,4552
1,W,force,1,W,1,1,501,5,3048
1,W,form,1,W,1,1,451,4,4797
1,W,found,1,W,1,1,587,5,8630
1,W,four,1,W,1,1,486,4,5843
1,N,fowns,2,N,1,1,757,5,0
1,N,frauselies,2,N,1,1,508,10,0
1,W,free,1,W,1,1,477,4,3734
1,N,frelled,2,N,1,1,567,7,0
1,W,french,1,W,1,1,582,6,2677
1,W,friend,1,W,1,1,583,6,3087
1,N,frithed,2,N,1,1,865,7,0
1,N,fronter,2,N,1,1,1088,7,0
1,N,frurlier,2,N,1,1,552,8,0
1,N,fulchom,2,N,1,1,558,7,0
1,N,futches,2,N,1,1,499,7,0
1,N,gastas,2,N,1,1,663,6,0
1,N,gattered,2,N,1,1,604,8,0
1,W,get,1,W,1,1,506,3,20944
1,W,getting,1,W,1,1,509,7,4395
1,W,girl,1,W,1,1,603,4,4944
1,W,girls,1,W,1,1,471,5,2912
1,W,give,1,W,1,1,554,4,8660
1,W,given,1,W,1,1,555,5,6045
1,N,glubume,2,N,1,1,622,7,0
1,W,go,1,W,1,1,556,2,18870
1,W,god,1,W,1,1,525,3,4668
1,W,goes,1,W,1,1,588,4,2783
1,W,gone,1,W,1,1,449,4,4521
1,W,got,1,W,1,1,581,3,15400
1,W,green,1,W,1,1,540,5,2648
1,N,griteie,2,N,1,1,589,7,0
