song_id,performer,song,spotify_genre,danceability,loudness,speechiness,valence,spotify_track_popularity
Cover MeBruce Springsteen,Bruce Springsteen,Cover Me,"['heartland rock', 'mellow gold', 'permanent wave', 'rock', 'singer-songwriter']",0.535,-5.499,0.0407,0.796,56
Now That We Found LoveThird World,Third World,Now That We Found Love,"['dub', 'lovers rock', 'modern reggae', 'reggae', 'reggae fusion', 'roots reggae']",0.723,-14,0.0684,0.556,38
You're Easy On The EyesTerri Clark,Terri Clark,You're Easy On The Eyes,"['alberta country', 'canadian contemporary country', 'canadian country', 'contemporary country', 'country', 'country dawn', 'country road']",0.738,-5.792,0.0263,0.881,34
Baby Hold OnEddie Money,Eddie Money,Baby Hold On,"['album rock', 'classic rock', 'folk rock', 'hard rock', 'mellow gold', 'pop rock', 'rock', 'soft rock']",0.642,-12.444,0.049,0.85,58
SnakeR. Kelly Featuring Big Tigger,R. Kelly Featuring Big Tigger,Snake,[],0.639,-6.566,0.261,0.793,38
Last ChristmasGlee Cast,Glee Cast,Last Christmas,"['glee club', 'hollywood', 'post-teen pop']",0.63,-6.005,0.0254,0.65,61
Dog Days Are OverGlee Cast,Glee Cast,Dog Days Are Over,"['glee club', 'hollywood', 'post-teen pop']",0.539,-7.189,0.0844,0.336,41
ReflektorArcade Fire,Arcade Fire,Reflektor,"['alternative dance', 'alternative rock', 'baroque pop', 'canadian indie', 'chamber pop', 'dance-punk', 'garage rock', 'indie pop', 'indie rock', 'indietronica', 'modern rock', 'new rave', 'permanent wave', 'quebec indie', 'rock']",0.59,-8.32,0.0317,0.656,58
A Worried ManThe Kingston Trio,The Kingston Trio,A Worried Man,"['american folk revival', 'bubblegum pop', 'folk', 'folk rock', 'traditional folk']",0.616,-17.204,0.0427,0.585,27
At My BestMachine Gun Kelly Featuring Hailee Steinfeld,Machine Gun Kelly Featuring Hailee Steinfeld,At My Best,"['pop rap', 'rap']",0.524,-6.696,0.152,0.237,64
Use SomebodyKings Of Leon,Kings Of Leon,Use Somebody,"['modern rock', 'rock']",0.276,-5.356,0.0432,0.173,77
Love BalladGeorge Benson,George Benson,Love Ballad,"['adult standards', 'disco', 'jazz funk', 'jazz guitar', 'motown', 'quiet storm', 'smooth jazz', 'soft rock', 'soul', 'soul jazz', 'yacht rock']",0.741,-12.131,0.0406,0.748,36
Higher Than HopeDaryl Braithwaite,Daryl Braithwaite,Higher Than Hope,"['australian pop', 'australian rock']",0.705,-11.835,0.0369,0.599,27
Your Love Is So Good For MeDiana Ross,Diana Ross,Your Love Is So Good For Me,"['adult standards', 'disco', 'funk', 'mellow gold', 'motown', 'quiet storm', 'soft rock', 'soul']",0.834,-13.978,0.0357,0.875,16
Jerk It OutCaesars,Caesars,Jerk It Out,"['swedish alternative rock', 'swedish indie rock']",0.58,-2.603,0.06,0.861,52
Waiting For Your LoveToto,Toto,Waiting For Your Love,"['album rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']",0.733,-17.274,0.0368,0.78,43
Black NightDeep Purple,Deep Purple,Black Night,"['album rock', 'blues rock', 'classic rock', 'hard rock', 'metal', 'psychedelic rock', 'rock']",0.497,-11.039,0.0734,0.812,40
