song_id,performer,song,spotify_genre,danceability,loudness,speechiness,valence,spotify_track_popularity
The Elvis MedleyElvis Presley,Elvis Presley,The Elvis Medley,"['adult standards', 'rock-and-roll', 'rockabilly']",0.609,-7.318,0.0528,0.786,28
BlameCalvin Harris Featuring John Newman,Calvin Harris Featuring John Newman,Blame,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'progressive house', 'tropical house', 'uk dance']",0.413,-4.078,0.0808,0.35,76
SidewaysDierks Bentley,Dierks Bentley,Sideways,"['contemporary country', 'country', 'country road', 'modern country rock']",0.624,-2.627,0.0364,0.815,54
Catch My BreathKelly Clarkson,Kelly Clarkson,Catch My Breath,"['dance pop', 'neo mellow', 'pop', 'pop rock', 'post-teen pop', 'talent show']",0.692,-5.364,0.0677,0.513,56
I Got A NameJim Croce,Jim Croce,I Got A Name,"['album rock', 'classic rock', 'folk', 'folk rock', 'mellow gold', 'rock', 'roots rock', 'singer-songwriter', 'soft rock']",0.584,-9.423,0.0433,0.609,58
Summertime MagicChildish Gambino,Childish Gambino,Summertime Magic,"['atl hip hop', 'hip hop', 'pop rap', 'rap']",0.76,-7.374,0.0569,0.125,72
Shut UpAriana Grande,Ariana Grande,Shut Up,"['dance pop', 'pop', 'post-teen pop']",0.499,-5.308,0.0312,0.599,66
Hit The FreewayToni Braxton Featuring Loon,Toni Braxton Featuring Loon,Hit The Freeway,"['dance pop', 'hip pop', 'neo soul', 'new jack swing', 'pop', 'quiet storm', 'r&b', 'urban contemporary']",0.799,-3.833,0.114,0.82,36
Ain't No Rest For The WickedCage The Elephant,Cage The Elephant,Ain't No Rest For The Wicked,"['garage rock', 'indie pop', 'indie rock', 'modern rock', 'punk blues', 'rock']",0.634,-7.075,0.105,0.919,75
Just BreathePearl Jam,Pearl Jam,Just Breathe,"['alternative rock', 'grunge', 'permanent wave', 'post-grunge', 'rock']",0.431,-10.943,0.0282,0.284,70
Perfect IllusionLady Gaga,Lady Gaga,Perfect Illusion,"['dance pop', 'pop']",0.625,-5.471,0.0389,0.668,67
TelepatiaKali Uchis,Kali Uchis,Telepatia,"['colombian pop', 'pop']",0.653,-9.016,0.0502,0.553,94
Lonesome TownRicky Nelson,Ricky Nelson,Lonesome Town,"['adult standards', 'brill building pop', 'bubblegum pop', 'doo-wop', 'folk rock', 'lounge', 'rock-and-roll', 'rockabilly']",0.509,-12.564,0.0298,0.3,58
CrazySeal,Seal,Crazy,"['british soul', 'soft rock']",0.633,-7.42,0.0473,0.725,64
Loving You EasyZac Brown Band,Zac Brown Band,Loving You Easy,"['contemporary country', 'country', 'country road', 'modern country rock']",0.722,-3.953,0.0269,0.326,63
Stand By Your ManTammy Wynette,Tammy Wynette,Stand By Your Man,"['country', 'country dawn', 'nashville sound']",0.517,-11.992,0.0308,0.525,56
CoCoO.T. Genasis,O.T. Genasis,CoCo,"['gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap', 'viral trap']",0.886,-5.949,0.131,0.178,65
Baby Come BackPlayer,Player,Baby Come Back,"['country rock', 'soft rock', 'yacht rock']",0.645,-9.904,0.118,0.545,57
All I DoSomethin' For The People,Somethin' For The People,All I Do,"['new jack swing', 'r&b']",0.913,-5.824,0.119,0.714,20
Steppin' OutKool & The Gang,Kool & The Gang,Steppin' Out,"['disco', 'funk', 'motown', 'post-disco', 'quiet storm', 'soul']",0.893,-14.217,0.0748,0.879,40
LandlordGladys Knight And The Pips,Gladys Knight And The Pips,Landlord,"['adult standards', 'brill building pop', 'classic soul', 'disco', 'funk', 'motown', 'quiet storm', 'soul', 'southern soul']",0.686,-8.053,0.0507,0.722,21
It Was A Very Good YearFrank Sinatra,Frank Sinatra,It Was A Very Good Year,"['adult standards', 'easy listening', 'lounge']",0.205,-15.339,0.0307,0.144,63
Beach BabyFirst Class,First Class,Beach Baby,[],0.4,-9.633,0.054,0.442,40
Love RemembersCraig Morgan,Craig Morgan,Love Remembers,"['contemporary country', 'country', 'country road', 'modern country rock', 'redneck']",0.39,-3.448,0.0342,0.379,34
Oh GirlPaul Young,Paul Young,Oh Girl,"['album rock', 'art rock', 'classic rock', 'classic uk pop', 'dance rock', 'disco', 'europop', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'soft rock', 'synthpop']",0.57,-7.032,0.0318,0.421,56
I'm Still WaitingJodeci,Jodeci,I'm Still Waiting,"['dance pop', 'funk', 'hip hop', 'hip pop', 'neo soul', 'new jack swing', 'quiet storm', 'r&b', 'urban contemporary']",0.695,-13.593,0.0383,0.77,41
The Adventures Of Rain Dance MaggieRed Hot Chili Peppers,Red Hot Chili Peppers,The Adventures Of Rain Dance Maggie,"['alternative rock', 'funk metal', 'funk rock', 'permanent wave', 'post-grunge', 'rock']",0.683,-4.523,0.029,0.576,68
Don't Let It Get You DownThe Crusaders,The Crusaders,Don't Let It Get You Down,"['funk', 'jazz funk', 'jazz fusion', 'smooth jazz', 'soul jazz']",0.821,-13.157,0.0335,0.969,21
Sum 2 ProveLil Baby,Lil Baby,Sum 2 Prove,"['atl hip hop', 'atl trap', 'rap', 'trap']",0.823,-7.57,0.324,0.418,72
Somebody Else WillJustin Moore,Justin Moore,Somebody Else Will,"['arkansas country', 'contemporary country', 'country', 'country road', 'modern country rock', 'redneck']",0.488,-4.284,0.131,0.59,59
Naughty GirlBeyonce,Beyonce,Naughty Girl,"['dance pop', 'pop', 'pop rap', 'r&b']",0.588,-8.686,0.161,0.659,61
Help Is On Its WayLittle River Band,Little River Band,Help Is On Its Way,"['album rock', 'art rock', 'australian rock', 'bubblegum pop', 'classic rock', 'country rock', 'folk', 'folk rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']",0.628,-8.718,0.0287,0.607,54
HomicideLogic Featuring Eminem,Logic Featuring Eminem,Homicide,"['conscious hip hop', 'dmv rap', 'hip hop', 'pop rap', 'rap']",0.694,-5.667,0.398,0.77,78
Back In My Arms AgainGenya Ravan,Genya Ravan,Back In My Arms Again,[],0.583,-5.765,0.0411,0.569,4
I Believe In YouDon Williams,Don Williams,I Believe In You,"['classic country pop', 'country', 'country rock']",0.512,-21.426,0.0483,0.51,56
Cast Your Fate To The WindSounds Orchestral,Sounds Orchestral,Cast Your Fate To The Wind,[],0.559,-13.499,0.0408,0.311,29
Do The BirdDee Dee Sharp,Dee Dee Sharp,Do The Bird,"['brill building pop', 'classic girl group', 'doo-wop', 'motown', 'philly soul', 'rhythm and blues']",0.641,-5.42,0.0407,0.929,21
Just Like HeavenThe Cure,The Cure,Just Like Heaven,"['dance rock', 'new romantic', 'new wave', 'permanent wave', 'rock']",0.43,-3.845,0.0524,0.764,66
Said SumMoneybagg Yo,Moneybagg Yo,Said Sum,"['hip hop', 'memphis hip hop', 'rap', 'southern hip hop', 'tennessee hip hop', 'trap']",0.929,-6.789,0.353,0.274,72
In Love Wit ChuDa Brat Featuring Cherish,Da Brat Featuring Cherish,In Love Wit Chu,"['chicago rap', 'hip hop', 'hip pop', 'new jack swing', 'r&b', 'urban contemporary']",0.813,-3.427,0.289,0.792,38
Turn Up The RadioAutograph,Autograph,Turn Up The Radio,"['album rock', 'glam metal', 'hard rock']",0.629,-13.496,0.0429,0.428,55
Jennifer EcclesThe Hollies,The Hollies,Jennifer Eccles,"['album rock', 'brill building pop', 'british invasion', 'bubblegum pop', 'classic rock', 'classic uk pop', 'folk', 'folk rock', 'mellow gold', 'merseybeat', 'psychedelic rock', 'rock', 'rock-and-roll', 'soft rock']",0.637,-10.691,0.031,0.809,33
"From The BeginningEmerson, Lake & Palmer","Emerson, Lake & Palmer",From The Beginning,"['album rock', 'art rock', 'classic rock', 'hard rock', 'jazz fusion', 'progressive rock', 'psychedelic rock', 'rock', 'symphonic rock']",0.617,-18.646,0.0444,0.326,56
Baby It's YouJoJo Featuring Bow Wow,JoJo Featuring Bow Wow,Baby It's You,"['dance pop', 'electropop', 'hip pop', 'pop', 'pop rap', 'post-teen pop', 'r&b', 'urban contemporary']",0.858,-4.199,0.118,0.821,54
BlessingsBig Sean Featuring Drake,Big Sean Featuring Drake,Blessings,"['detroit hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",0.789,-7.685,0.283,0.158,67
You And I / You And IGlee Cast,Glee Cast,You And I / You And I,"['glee club', 'hollywood', 'post-teen pop']",0.378,-6.07,0.0525,0.191,44
Highway 20 RideZac Brown Band,Zac Brown Band,Highway 20 Ride,"['contemporary country', 'country', 'country road', 'modern country rock']",0.55,-7.195,0.0339,0.428,58
To Be With YouMr. Big,Mr. Big,To Be With You,"['album rock', 'glam metal', 'hard rock', 'rock']",0.688,-9.601,0.0535,0.45,72
Can't ExplainLil Baby,Lil Baby,Can't Explain,"['atl hip hop', 'atl trap', 'rap', 'trap']",0.642,-10.201,0.582,0.119,52
CrazierTaylor Swift,Taylor Swift,Crazier,"['pop', 'post-teen pop']",0.452,-5.423,0.0277,0.158,58
I've Had EnoughWings,Wings,I've Had Enough,"['album rock', 'art rock', 'classic rock', 'classic uk pop', 'folk rock', 'mellow gold', 'rock', 'soft rock']",0.621,-11.559,0.0421,0.702,27
California SunThe Rivieras,The Rivieras,California Sun,"['classic garage rock', 'doo-wop', 'surf music']",0.411,-8.72,0.0427,0.965,46
Lay All Your Love On MeInformation Society,Information Society,Lay All Your Love On Me,"['dance rock', 'freestyle', 'new romantic', 'new wave', 'new wave pop', 'synthpop']",0.715,-12.29,0.0409,0.775,32
ColoursDonovan,Donovan,Colours,"['art rock', 'brill building pop', 'british folk', 'british invasion', 'classic rock', 'classic uk pop', 'folk', 'folk rock', 'glam rock', 'mellow gold', 'protopunk', 'psychedelic folk', 'psychedelic rock', 'rock', 'roots rock', 'scottish singer-songwriter', 'singer-songwriter', 'soft rock', 'traditional folk']",0.458,-11.507,0.0262,0.696,46
Flavor Of The WeakAmerican Hi-Fi,American Hi-Fi,Flavor Of The Weak,['pop punk'],0.389,-1.886,0.0745,0.597,62
"Oye Mi CantoN.O.R.E. Featuring Daddy Yankee, Nina Sky, Gem Star & Big Mato","N.O.R.E. Featuring Daddy Yankee, Nina Sky, Gem Star & Big Mato",Oye Mi Canto,"['gangster rap', 'hardcore hip hop', 'hip hop', 'hip pop', 'queens hip hop', 'rap', 'southern hip hop']",0.677,-2.887,0.0553,0.948,63
Love Me HarderAriana Grande & The Weeknd,Ariana Grande & The Weeknd,Love Me Harder,"['dance pop', 'pop', 'post-teen pop']",0.472,-4.389,0.0334,0.24,57
It's All OverBen E. King,Ben E. King,It's All Over,"['adult standards', 'brill building pop', 'motown', 'rock-and-roll', 'soul', 'southern soul']",0.518,-11.943,0.0283,0.662,12
It's Now Winters DayTommy Roe,Tommy Roe,It's Now Winters Day,"['adult standards', 'brill building pop', 'bubblegum pop', 'folk rock', 'merseybeat', 'rock-and-roll']",0.186,-14.595,0.0315,0.482,7
Am I WrongLove Spit Love,Love Spit Love,Am I Wrong,[],0.441,-7.395,0.0315,0.536,33
IvyTaylor Swift,Taylor Swift,Ivy,"['pop', 'post-teen pop']",0.515,-9.277,0.0353,0.535,69
Scientific LoveMidnight Star,Midnight Star,Scientific Love,"['disco', 'electro', 'funk', 'new jack swing', 'post-disco', 'quiet storm', 'urban contemporary']",0.715,-8.442,0.0431,0.507,17
Why Can't I Have YouThe Cars,The Cars,Why Can't I Have You,"['album rock', 'art rock', 'classic rock', 'dance rock', 'hard rock', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'permanent wave', 'pop rock', 'power pop', 'rock', 'soft rock']",0.586,-10.001,0.0322,0.895,39
InsomniaFaithless,Faithless,Insomnia,"['big beat', 'downtempo', 'electronica', 'trip hop']",0.711,-10.637,0.0302,0.493,46
CAN'T STOPDaBaby,DaBaby,CAN'T STOP,"['north carolina hip hop', 'rap']",0.732,-5.849,0.304,0.832,55
I Don't Want To Live Without YouForeigner,Foreigner,I Don't Want To Live Without You,"['album rock', 'classic rock', 'hard rock', 'mellow gold', 'rock', 'soft rock']",0.431,-8.625,0.0295,0.233,55
If I Ain't Got YouAlicia Keys,Alicia Keys,If I Ain't Got You,"['hip pop', 'neo soul', 'pop', 'r&b', 'urban contemporary']",0.609,-9.129,0.106,0.166,80
With YouDrake Featuring PARTYNEXTDOOR,Drake Featuring PARTYNEXTDOOR,With You,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']",0.876,-10.034,0.262,0.816,64
Shaky ShakyDaddy Yankee,Daddy Yankee,Shaky Shaky,"['latin', 'latin hip hop', 'reggaeton', 'tropical']",0.899,-4.228,0.292,0.873,70
Rockstar ChainzFuture,Future,Rockstar Chainz,"['atl hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",0.867,-6.914,0.307,0.271,54
Jumpin' Jack FlashThe Rolling Stones,The Rolling Stones,Jumpin' Jack Flash,"['album rock', 'british invasion', 'classic rock', 'protopunk', 'rock']",0.596,-7.373,0.0482,0.621,66
Dog Days Are OverFlorence + The Machine,Florence + The Machine,Dog Days Are Over,"['art pop', 'baroque pop', 'pop', 'uk alternative pop']",0.492,-5.315,0.0847,0.245,70
What About Love?Heart,Heart,What About Love?,"['folk-pop', 'indie folk', 'indie pop', 'neo mellow', 'new americana', 'seattle indie', 'stomp and holler']",0.246,-7.067,0.0377,0.3,59
Don't ForgetDemi Lovato,Demi Lovato,Don't Forget,"['dance pop', 'pop', 'post-teen pop']",0.607,-7.592,0.153,0.619,58
Queen Of My HeartRene And Ray,Rene And Ray,Queen Of My Heart,[],0.302,-8.622,0.0295,0.731,22
AnimalsMaroon 5,Maroon 5,Animals,"['pop', 'pop rock']",0.279,-6.46,0.0898,0.328,76
Never Let Her GoDavid Gates,David Gates,Never Let Her Go,"['adult standards', 'classic uk pop', 'country rock', 'mellow gold', 'soft rock']",0.576,-14.764,0.0251,0.621,45
My LoveJustin Timberlake Featuring T.I.,Justin Timberlake Featuring T.I.,My Love,"['dance pop', 'pop', 'pop rap']",0.772,-5.881,0.224,0.807,71
Dog Days Are OverVicci Martinez,Vicci Martinez,Dog Days Are Over,['deep talent show'],0.571,-5.256,0.0424,0.194,16
AttentionCharlie Puth,Charlie Puth,Attention,"['dance pop', 'pop', 'post-teen pop', 'viral pop']",0.775,-4.586,0.0542,0.797,83
Everybody Loves A LoverThe Shirelles,The Shirelles,Everybody Loves A Lover,"['adult standards', 'brill building pop', 'classic girl group', 'doo-wop', 'motown', 'rhythm and blues', 'rock-and-roll', 'rockabilly', 'soul']",0.73,-20.009,0.0504,0.761,14
Your Daddy Don't KnowToronto,Toronto,Your Daddy Don't Know,['orchestra'],0.575,-5.313,0.0528,0.859,41
Hard Knock Life (Ghetto Anthem)JAY-Z,JAY-Z,Hard Knock Life (Ghetto Anthem),"['east coast hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop']",NA,NA,NA,NA,65
Lost In LoveNastyboy Klick,Nastyboy Klick,Lost In Love,['chicano rap'],0.837,-13.319,0.28,0.489,47
You're My Best FriendQueen,Queen,You're My Best Friend,"['glam rock', 'rock']",0.512,-7.035,0.0495,0.553,62
At The StarsBetter Than Ezra,Better Than Ezra,At The Stars,"['alternative rock', 'neo mellow', 'pop rock', 'post-grunge']",0.377,-5.253,0.041,0.537,33
I Don't DanceLee Brice,Lee Brice,I Don't Dance,"['contemporary country', 'country', 'country road', 'modern country rock']",0.587,-7.742,0.0321,0.19,70
GhostinAriana Grande,Ariana Grande,Ghostin,"['dance pop', 'pop', 'post-teen pop']",0.287,-8.295,0.0306,0.11,75
Can't Fight The MoonlightLeAnn Rimes,LeAnn Rimes,Can't Fight The Moonlight,"['country', 'country dawn', 'dance pop', 'pop rock']",0.628,-6.341,0.0497,0.626,63
"Make It HotNicole Featuring Missy ""Misdemeanor"" Elliott & Mocha","Nicole Featuring Missy ""Misdemeanor"" Elliott & Mocha",Make It Hot,"['dance pop', 'europop', 'pop', 'post-teen pop']",0.76,-8.834,0.19,0.581,47
Seven Day FoolEtta James,Etta James,Seven Day Fool,"['adult standards', 'jazz blues', 'soul', 'soul blues', 'torch song', 'vocal jazz']",0.552,-12.486,0.0448,0.765,43
Back WhenTim McGraw,Tim McGraw,Back When,"['contemporary country', 'country', 'country road']",0.604,-4.822,0.0279,0.663,45
PhenomenonLL Cool J,LL Cool J,Phenomenon,"['east coast hip hop', 'hardcore hip hop', 'hip hop', 'hip pop', 'old school hip hop', 'pop rap', 'queens hip hop', 'r&b', 'rap', 'southern hip hop', 'urban contemporary']",0.812,-8.342,0.289,0.441,53
SurfMac Miller,Mac Miller,Surf,"['hip hop', 'pittsburgh rap', 'rap']",0.828,-13.066,0.166,0.231,68
Macho ManVillage People,Village People,Macho Man,"['disco', 'europop']",0.745,-12.33,0.0439,0.888,48
A Little More Country Than ThatEaston Corbin,Easton Corbin,A Little More Country Than That,"['contemporary country', 'country', 'country road', 'modern country rock']",0.484,-8.484,0.0363,0.584,54
Return To InnocenceEnigma,Enigma,Return To Innocence,"['banda', 'corrido', 'deep regional mexican', 'norteno', 'regional mexican', 'regional mexican pop']",0.476,-12.357,0.038,0.417,64
Try A Little TendernessOtis Redding,Otis Redding,Try A Little Tenderness,"['classic soul', 'funk', 'memphis soul', 'soul', 'soul blues', 'southern soul']",0.587,-15.151,0.0565,0.068,65
BiggerJustin Bieber,Justin Bieber,Bigger,"['canadian pop', 'dance pop', 'pop', 'post-teen pop']",0.78,-2.863,0.121,0.884,48
Jingle Bell RockBobby Helms,Bobby Helms,Jingle Bell Rock,['adult standards'],0.754,-8.463,0.0363,0.806,91
If I FellThe Beatles,The Beatles,If I Fell,"['british invasion', 'merseybeat', 'psychedelic rock', 'rock']",0.665,-8.928,0.0278,0.568,64
Talk UpDrake Featuring JAY-Z,Drake Featuring JAY-Z,Talk Up,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']",0.758,-9.877,0.139,0.335,65
The Chain Of LoveClay Walker,Clay Walker,The Chain Of Love,"['contemporary country', 'country', 'country road', 'country rock', 'modern country rock']",0.533,-14.349,0.0308,0.316,43
Do You Want To DanceBobby Freeman,Bobby Freeman,Do You Want To Dance,"['doo-wop', 'rhythm and blues', 'rock-and-roll', 'rockabilly']",0.625,-12.003,0.0501,0.957,27
Happy TogetherThe Nylons,The Nylons,Happy Together,['a cappella'],0.69,-7.617,0.0334,0.492,19
Afire LoveEd Sheeran,Ed Sheeran,Afire Love,"['pop', 'uk pop']",0.552,-6.568,0.0445,0.333,64
The Great CommandmentCamouflage,Camouflage,The Great Commandment,"['futurepop', 'new romantic', 'new wave', 'synthpop']",0.673,-11.347,0.0368,0.915,46
SmileAvril Lavigne,Avril Lavigne,Smile,"['canadian pop', 'candy pop', 'dance pop', 'pop', 'post-teen pop']",0.634,-3.843,0.047,0.647,63
Growin'Loggins & Messina,Loggins & Messina,Growin',"['album rock', 'mellow gold', 'new wave pop', 'rock', 'soft rock', 'yacht rock']",0.548,-13.012,0.0695,0.714,27
Black SweatPrince,Prince,Black Sweat,"['bachata', 'latin', 'latin pop', 'reggaeton', 'tropical']",0.929,-5.925,0.279,0.67,47
It's Not Right But It's OkayWhitney Houston,Whitney Houston,It's Not Right But It's Okay,"['dance pop', 'pop', 'r&b']",0.806,-7.076,0.102,0.529,65
"Stop, Look, Listen (To Your Heart)The Stylistics",The Stylistics,"Stop, Look, Listen (To Your Heart)","['adult standards', 'classic soul', 'disco', 'funk', 'motown', 'philly soul', 'quiet storm', 'soul']",0.446,-9.042,0.0267,0.446,42
Something He Can FeelAretha Franklin,Aretha Franklin,Something He Can Feel,"['classic soul', 'jazz blues', 'memphis soul', 'soul', 'southern soul']",0.613,-13.305,0.0442,0.64,48
CardiganDon Toliver,Don Toliver,Cardigan,"['rap', 'trap']",0.747,-6.542,0.0401,0.0663,72
"Otro TragoSech, Darell, Nicky Jam, Ozuna & Anuel AA","Sech, Darell, Nicky Jam, Ozuna & Anuel AA",Otro Trago,"['panamanian pop', 'reggaeton']",0.725,-2.331,0.197,0.763,87
Change The WorldEric Clapton,Eric Clapton,Change The World,"['album rock', 'blues rock', 'classic rock', 'electric blues', 'mellow gold', 'rock', 'soft rock']",0.721,-8.8,0.0246,0.542,67
Call MeJohnny Mathis,Johnny Mathis,Call Me,"['adult standards', 'brill building pop', 'easy listening', 'mellow gold', 'vocal jazz']",0.292,-9.896,0.0323,0.397,8
My Kinda LoverBilly Squier,Billy Squier,My Kinda Lover,"['album rock', 'classic rock', 'glam metal', 'hard rock', 'heartland rock', 'mellow gold', 'rock', 'soft rock']",0.534,-6.603,0.0361,0.783,58
I've Got So Much To GiveBarry White,Barry White,I've Got So Much To Give,"['adult standards', 'disco', 'funk', 'motown', 'quiet storm', 'soul']",0.391,-14.356,0.0332,0.249,34
Cat's In The CradleUgly Kid Joe,Ugly Kid Joe,Cat's In The Cradle,"['funk metal', 'funk rock', 'glam metal', 'hard rock', 'post-grunge', 'rock']",0.443,-9.479,0.0315,0.469,63
Girls Just Want To Have FunGlee Cast,Glee Cast,Girls Just Want To Have Fun,"['glee club', 'hollywood', 'post-teen pop']",0.424,-12.802,0.0334,0.383,42
You Really Got MeVan Halen,Van Halen,You Really Got Me,"['album rock', 'classic rock', 'hard rock', 'metal', 'rock']",0.454,-5.978,0.13,0.647,66
Cupid ShuffleCupid,Cupid,Cupid Shuffle,"['deep southern trap', 'kids dance party']",0.785,-4.877,0.237,0.861,61
Peanut ButterTwennynine Featuring Lenny White,Twennynine Featuring Lenny White,Peanut Butter,[],0.797,-8.619,0.0587,0.962,29
Hard To Say I'm SorryAz Yet Featuring Peter Cetera,Az Yet Featuring Peter Cetera,Hard To Say I'm Sorry,"['new jack swing', 'r&b', 'urban contemporary']",0.537,-9.949,0.0366,0.22,50
HeartbeatBuddy Holly,Buddy Holly,Heartbeat,"['adult standards', 'brill building pop', 'bubblegum pop', 'folk rock', 'lounge', 'rock-and-roll', 'rockabilly']",0.616,-12.655,0.0321,0.816,49
Stone Cold SoberCrawler,Crawler,Stone Cold Sober,[],0.572,-14.349,0.0549,0.818,12
"Ride OutKid Ink, Tyga, Wale, YG & Rich Homie Quan","Kid Ink, Tyga, Wale, YG & Rich Homie Quan",Ride Out,"['dance pop', 'hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap']",0.696,-5.641,0.0952,0.536,64
Because Of LoveJanet Jackson,Janet Jackson,Because Of Love,"['dance pop', 'hip pop', 'neo soul', 'pop', 'r&b', 'urban contemporary']",0.764,-5.647,0.0523,0.825,41
Nobody's Baby AgainDean Martin,Dean Martin,Nobody's Baby Again,"['adult standards', 'easy listening', 'lounge']",0.574,-12.138,0.042,0.692,34
Hang On SloopyThe McCoys,The McCoys,Hang On Sloopy,"['brill building pop', 'bubblegum pop', 'classic garage rock', 'folk rock', 'merseybeat']",0.764,-12.099,0.0334,0.936,56
Don't You Want MeThe Human League,The Human League,Don't You Want Me,"['art rock', 'dance rock', 'new romantic', 'new wave', 'new wave pop', 'permanent wave', 'rock', 'synthpop']",0.731,-8.125,0.0377,0.958,75
Talking BodyTove Lo,Tove Lo,Talking Body,"['dance pop', 'electropop', 'metropopolis', 'pop', 'post-teen pop', 'swedish electropop', 'swedish pop', 'swedish synthpop', 'tropical house']",0.736,-5.449,0.0338,0.114,67
Go Your Own WayGlee Cast,Glee Cast,Go Your Own Way,"['glee club', 'hollywood', 'post-teen pop']",0.56,-4.801,0.0281,0.594,47
Fake ItSeether,Seether,Fake It,"['alternative metal', 'nu metal', 'post-grunge', 'south african rock']",0.615,-3.52,0.0549,0.586,75
There's A Kind Of Hush (All Over The World)Carpenters,Carpenters,There's A Kind Of Hush (All Over The World),"['adult standards', 'brill building pop', 'mellow gold', 'soft rock']",0.758,-10.696,0.0341,0.942,29
Hello StrangerBarbara Lewis,Barbara Lewis,Hello Stranger,"['brill building pop', 'classic soul', 'motown', 'rhythm and blues']",0.458,-23.883,0.0305,0.82,52
King Of The RoadRoger Miller,Roger Miller,King Of The Road,"['comic', 'country', 'country rock', 'folk', 'nashville sound', 'oklahoma country', 'traditional folk']",0.672,-13.733,0.0704,0.6,56
ValerieGlee Cast,Glee Cast,Valerie,"['glee club', 'hollywood', 'post-teen pop']",0.651,-5.236,0.0694,0.813,62
You Know That I Love YouSantana,Santana,You Know That I Love You,"['blues rock', 'classic rock']",0.569,-12.977,0.0271,0.675,22
We Run The NightHavana Brown Featuring Pitbull,Havana Brown Featuring Pitbull,We Run The Night,"['australian dance', 'australian pop', 'electropop']",0.691,-4.322,0.174,0.704,54
Pop OutPolo G Featuring Lil Tjay,Polo G Featuring Lil Tjay,Pop Out,['chicago rap'],0.772,-7.119,0.467,0.261,86
GimmickGunna,Gunna,Gimmick,"['atl hip hop', 'hip hop', 'melodic rap', 'rap', 'trap']",0.938,-7.037,0.138,0.58,52
Ain't Too Proud To BegRick Astley,Rick Astley,Ain't Too Proud To Beg,"['dance pop', 'dance rock', 'europop', 'new romantic', 'new wave', 'new wave pop', 'soft rock']",0.777,-12.358,0.0292,0.796,30
White LightningGeorge Jones,George Jones,White Lightning,"['country', 'country rock', 'honky tonk']",0.583,-9.689,0.0909,0.958,53
I'll Never Find Another YouThe Seekers,The Seekers,I'll Never Find Another You,"['adult standards', 'brill building pop', 'british invasion', 'bubblegum pop', 'folk', 'folk rock', 'mellow gold', 'merseybeat', 'rock-and-roll', 'traditional folk']",0.567,-7.666,0.0336,0.79,52
Don't Tell MeMadonna,Madonna,Don't Tell Me,"['dance pop', 'pop']",0.699,-7.338,0.0594,0.679,42
Everlasting LoveHoward Jones,Howard Jones,Everlasting Love,"['dance rock', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'soft rock', 'synthpop']",0.653,-5.501,0.0251,0.897,46
ConscienceKodak Black Featuring Future,Kodak Black Featuring Future,Conscience,"['florida rap', 'hip hop', 'melodic rap', 'miami hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",0.666,-3.638,0.199,0.132,57
Since I Don't Have YouDon McLean,Don McLean,Since I Don't Have You,"['adult standards', 'classic rock', 'folk', 'folk rock', 'mellow gold', 'rock', 'singer-songwriter', 'soft rock', 'traditional folk']",0.305,-12.948,0.0287,0.825,29
You're A Friend Of MineClarence Clemons & Jackson Browne,Clarence Clemons & Jackson Browne,You're A Friend Of Mine,[],0.595,-6.154,0.038,0.74,43
GyalchesterDrake,Drake,Gyalchester,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']",0.872,-8.343,0.0634,0.156,71
Meanwhile Back At Mama'sTim McGraw Featuring Faith Hill,Tim McGraw Featuring Faith Hill,Meanwhile Back At Mama's,"['contemporary country', 'country', 'country road']",0.524,-8.68,0.0435,0.676,54
What Kinda GoneChris Cagle,Chris Cagle,What Kinda Gone,"['contemporary country', 'country', 'country road', 'modern country rock']",0.494,-5.236,0.0365,0.668,63
I'm Still In Love With YouNew Edition,New Edition,I'm Still In Love With You,"['boy band', 'dance pop', 'funk', 'new jack swing', 'quiet storm', 'r&b', 'urban contemporary']",0.737,-4.761,0.0368,0.416,54
Light SingsThe 5th Dimension,The 5th Dimension,Light Sings,"['adult standards', 'brill building pop', 'bubblegum pop', 'folk', 'folk rock', 'lounge', 'mellow gold', 'motown', 'soft rock', 'sunshine pop']",0.459,-11.239,0.0296,0.769,11
How LongRod Stewart,Rod Stewart,How Long,"['adult standards', 'mellow gold', 'soft rock']",0.69,-5.423,0.0267,0.794,23
Middle ChildJ. Cole,J. Cole,Middle Child,"['conscious hip hop', 'hip hop', 'nc hip hop', 'pop rap', 'rap']",0.837,-11.713,0.276,0.463,87
