Subj,Cond,Feat,Trials,Accuracy,TA1,TA2,TA3,TA4,TA5,TB1,TB2,TB3,TB4,TB5,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,CA,FR
82,NV,5,60,0.70,A,B,A,A,A,A,B,B,A,B,B,B,B,B,B,B,A,A,A,A,B,A,B,A,B,B,A,B,B,B,0.9,0.1
84,VB,3,60,0.90,B,A,A,A,A,B,B,B,B,B,B,B,A,B,B,A,A,A,A,A,A,A,A,B,B,B,B,B,B,B,0.9,0.1
86,VB,2,60,1.00,A,A,A,A,A,B,B,B,B,B,B,B,B,B,B,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,1,0
88,NV,2,151,0.80,A,B,A,A,A,B,A,B,B,B,A,B,B,A,A,B,A,B,B,B,B,B,A,B,B,A,B,A,B,B,0.3,0.7
90,VB,1,60,1.00,A,A,A,A,A,B,B,B,B,B,B,B,B,B,B,A,A,A,A,A,A,B,A,A,B,B,A,B,A,B,1,0
92,VB,3,60,1.00,A,A,A,A,A,B,B,B,B,B,B,B,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,1,0
94,NV,4,106,0.80,A,B,A,A,A,B,A,B,B,B,A,B,A,A,A,B,A,B,B,B,A,A,B,A,A,B,B,A,A,B,0.2,0.8
96,NV,1,73,0.80,A,A,A,B,A,B,B,B,A,B,A,A,A,B,A,B,B,B,A,B,B,B,B,A,B,B,B,B,B,B,0.2,0.8
98,NV,4,60,1.00,A,A,A,A,A,B,B,B,B,B,B,B,B,B,B,A,A,A,A,A,A,A,A,A,A,A,B,B,B,B,1,0
100,NV,1,60,0.90,A,B,A,A,A,B,B,B,B,B,A,A,A,A,A,B,B,B,B,B,A,A,A,A,A,A,B,B,B,B,0,1
102,NV,1,133,0.80,A,A,A,A,B,B,B,B,B,A,A,A,A,A,B,B,B,B,B,A,A,B,A,A,A,A,B,A,A,B,0.2,0.8
104,NV,2,60,1.00,A,A,A,A,A,B,B,B,B,B,A,B,A,B,B,A,A,A,A,A,A,A,A,A,A,B,B,A,B,B,0.8,0.2
106,NV,1,60,1.00,A,A,A,A,A,B,B,B,B,B,B,B,B,B,B,A,A,A,A,A,A,A,B,B,A,B,A,B,A,A,1,0
108,VB,4,104,1.00,A,A,A,A,A,B,B,B,B,B,B,B,B,B,B,A,A,A,A,A,A,A,B,A,B,B,B,B,B,B,1,0
110,NV,1,80,0.70,B,A,A,A,A,B,B,B,A,A,A,A,A,A,A,B,B,B,B,A,B,B,B,A,A,A,B,B,B,B,0.1,0.9
112,VB,3,60,1.00,A,A,A,A,A,B,B,B,B,B,B,B,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,1,0
114,VB,4,60,0.60,A,A,A,B,B,A,B,B,A,B,B,B,B,A,B,A,A,A,B,A,B,B,A,A,B,A,B,A,A,A,0.8,0.2
116,NV,3,62,0.70,A,A,A,A,A,B,A,B,A,A,A,A,A,A,A,B,A,A,A,A,A,B,B,A,B,B,B,B,B,B,0.4,0.6
118,VB,3,60,1.00,A,A,A,A,A,B,B,B,B,B,B,B,B,B,B,A,A,A,A,A,B,A,A,A,B,B,A,B,A,B,1,0
120,VB,1,60,1.00,A,A,A,A,A,B,B,B,B,B,B,B,B,B,B,A,A,A,A,A,A,A,A,A,A,B,A,B,A,B,1,0
122,VB,4,305,0.70,A,A,A,A,B,B,A,B,A,B,A,A,A,A,B,B,B,B,B,A,B,B,A,A,B,A,A,B,B,B,0.2,0.8
124,NV,1,60,1.00,A,A,A,A,A,B,B,B,B,B,B,B,B,B,B,A,A,A,A,A,A,B,B,A,A,B,B,B,A,A,1,0
126,VB,5,83,0.90,A,A,B,A,A,B,B,B,B,B,A,A,B,B,A,B,B,A,B,B,A,A,B,B,B,B,B,B,A,B,0.3,0.7
128,VB,2,87,1.00,A,A,A,A,A,B,B,B,B,B,B,B,B,B,B,A,A,A,A,A,A,A,A,A,B,B,B,A,A,A,1,0
130,NV,3,103,0.80,A,A,A,B,B,B,B,B,B,B,A,A,A,B,B,B,B,B,B,B,B,A,A,A,B,B,B,B,A,B,0.2,0.8
132,VB,5,60,1.00,A,A,A,A,A,B,B,B,B,B,B,B,B,B,B,A,A,A,A,A,A,A,B,A,A,B,B,A,A,B,1,0
138,NV,3,138,0.90,A,A,A,A,A,B,B,B,A,B,A,A,A,B,A,B,B,B,A,B,A,A,B,B,A,B,B,B,A,B,0.2,0.8
170,NV,2,198,0.80,A,A,A,B,B,B,B,B,B,B,A,A,A,B,B,B,B,B,B,A,A,A,A,A,A,B,A,B,A,B,0.3,0.7
174,NV,4,160,0.80,A,B,A,A,A,B,A,B,B,B,A,A,A,A,A,B,A,B,B,B,B,A,A,B,A,B,B,B,B,B,0.1,0.9
176,NV,1,151,0.90,A,A,A,A,A,B,B,B,B,A,A,A,B,B,B,B,B,A,B,A,B,A,A,A,A,A,A,A,A,A,0.5,0.5
